CONNECTION_social_num_close_friends_p3m,CONNECTION_social_num_coworkers_p3m,CONNECTION_social_num_classmates_p3m,CONNECTION_preference_num_social_casual_friends,CONNECTION_social_num_casual_friends_p3m
NA,NA,NA,10,10
3,NA,NA,2,0
2,NA,NA,5,NA
5,NA,NA,NA,5
NA,NA,NA,NA,NA
4,3,NA,2,2
1,2,NA,NA,2
0,0,0,0,0
NA,NA,NA,NA,NA
150,NA,NA,NA,NA
NA,NA,NA,NA,NA
5,0,NA,2,5
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
2,0,NA,NA,1
5,5,NA,5,10
NA,NA,NA,NA,NA
2,NA,NA,NA,2
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1,2,NA,3,2
NA,NA,NA,NA,NA
0,NA,NA,NA,0
1,NA,NA,NA,2
1,NA,NA,1,1
3,1,NA,NA,3
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3,1,NA,NA,2
NA,NA,NA,NA,NA
3,3,NA,5,5
3,5,NA,NA,4
NA,NA,NA,NA,NA
2,NA,NA,NA,1
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3,NA,NA,12,0
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
10,9,NA,9,14
NA,NA,NA,NA,NA
0,NA,NA,NA,1
NA,NA,NA,NA,NA
7,NA,NA,10,4
2,NA,NA,5,5
NA,NA,NA,NA,NA
2,NA,NA,NA,NA
0,1,NA,NA,2
3,NA,NA,2,2
6,12,NA,4,4
6,NA,NA,5,5
3,NA,NA,3,1
NA,NA,NA,NA,NA
2,2,NA,2,4
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1,NA,NA,2,3
2,1,NA,1,1
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
6,2,NA,NA,2
NA,NA,NA,NA,NA
1,0,NA,0,0
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1,NA,NA,NA,1
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1,NA,NA,NA,1
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
